TimestampEpoch;BusChannel;ID;IDE;DLC;DataLength;Dir;EDL;BRS;DataBytes
1728979578.209;1;7E8;0;8;8;0;0;0;0341040000000000
1728979578.262;1;7E8;0;8;8;0;0;0;04410C0000000000
1728979579.814;1;7E8;0;8;8;0;0;0;03411C1D00000000
1728979579.961;1;7E8;0;8;8;0;0;0;0441210000000000
1728979579.114;1;7E8;0;8;8;0;0;0;03410D0000000000
1728979580.714;1;7E8;0;8;8;0;0;0;0341111E00000000
1728979580.813;1;7E8;0;8;8;0;0;0;0341111E00000000
1728979580.861;1;7E8;0;8;8;0;0;0;03410D0000000000
1728979580.361;1;7E8;0;8;8;0;0;0;03411C1D00000000
1728979581.513;1;7E8;0;8;8;0;0;0;03411C1D00000000
1728979581.113;1;7E8;0;8;8;0;0;0;03410F4200000000
1728979581.365;1;7E8;0;8;8;0;0;0;04410C106C000000
1728979582.565;1;7E8;0;8;8;0;0;0;0341054600000000
1728979582.817;1;7E8;0;8;8;0;0;0;03411C1D00000000
1728979582.217;1;7E8;0;8;8;0;0;0;0141000000000000
1728979582.265;1;7E8;0;8;8;0;0;0;0341045100000000
1728979584.617;1;7E8;0;8;8;0;0;0;0341054600000000
1728979584.769;1;7E8;0;8;8;0;0;0;03410D0000000000
1728979584.18;1;7E8;0;8;8;0;0;0;0441210000000000
1728979585.870;1;7E8;0;8;8;0;0;0;0141000000000000
1728979585.918;1;7E8;0;8;8;0;0;0;04410C0EE8000000
1728979585.966;1;7E8;0;8;8;0;0;0;03410D0000000000
1728979585.117;1;7E8;0;8;8;0;0;0;0341054600000000
1728979585.266;1;7E8;0;8;8;0;0;0;0141000000000000
1728979586.770;1;7E8;0;8;8;0;0;0;0341044400000000
1728979586.170;1;7E8;0;8;8;0;0;0;0341112600000000
1728979587.569;1;7E8;0;8;8;0;0;0;0341112600000000
1728979588.822;1;7E8;0;8;8;0;0;0;0341054600000000
1728979588.969;1;7E8;0;8;8;0;0;0;0141000000000000
1728979588.122;1;7E8;0;8;8;0;0;0;0441210000000000
1728979588.170;1;7E8;0;8;8;0;0;0;0341044400000000
1728979589.569;1;7E8;0;8;8;0;0;0;0341044200000000
1728979589.70;1;7E8;0;8;8;0;0;0;0341044200000000
1728979590.870;1;7E8;0;8;8;0;0;0;0341054600000000
1728979590.917;1;7E8;0;8;8;0;0;0;03410D0000000000
1728979590.69;1;7E8;0;8;8;0;0;0;03410D0000000000
1728979590.270;1;7E8;0;8;8;0;0;0;03410D0000000000
1728979590.422;1;7E8;0;8;8;0;0;0;03411C1D00000000
1728979591.821;1;7E8;0;8;8;0;0;0;04410C0ED8000000
1728979591.873;1;7E8;0;8;8;0;0;0;0141000000000000
1728979591.921;1;7E8;0;8;8;0;0;0;04410C0EE8000000
1728979591.22;1;7E8;0;8;8;0;0;0;03410D0000000000
1728979592.622;1;7E8;0;8;8;0;0;0;03411C1D00000000
1728979592.874;1;7E8;0;8;8;0;0;0;03411C1D00000000
1728979592.121;1;7E8;0;8;8;0;0;0;0341043F00000000
1728979593.474;1;7E8;0;8;8;0;0;0;0341054600000000
1728979593.722;1;7E8;0;8;8;0;0;0;04410C0EBC000000
1728979593.221;1;7E8;0;8;8;0;0;0;0341112500000000
1728979593.273;1;7E8;0;8;8;0;0;0;0141000000000000
1728979593.326;1;7E8;0;8;8;0;0;0;03410F4200000000
1728979594.521;1;7E8;0;8;8;0;0;0;03411C1D00000000
1728979594.626;1;7E8;0;8;8;0;0;0;03410D0000000000
1728979596.521;1;7E8;0;8;8;0;0;0;0341112500000000
1728979596.626;1;7E8;0;8;8;0;0;0;04410C0EB0000000
