TimestampEpoch,BusChannel,ID,IDE,DLC,DataLength,Dir,EDL,BRS,DataBytes,Timestamp,DecodedMessages
1720618549.527,1,2024,0,8,8,0,0,0,03411C1DAAAAAAAA,1720618549.527,"{'Length': 3, 'Response': 4, 'Service': 'Show current data ', 'S01PID': 'S01PID1C_OBDStandard', 'S01PID1C_OBDStandard': 'OBDBr-2'}"
1720618549.978,1,2024,0,8,8,0,0,0,03411132AAAAAAAA,1720618549.978,"{'Length': 3, 'Response': 4, 'Service': 'Show current data ', 'S01PID': 'S01PID11_ThrottlePosition', 'S01PID11_ThrottlePosition': 19.608}"
1720618549.278,1,2024,0,8,8,0,0,0,03414510AAAAAAAA,1720618549.278,"{'Length': 3, 'Response': 4, 'Service': 'Show current data ', 'S01PID': 'S01PID45_RelThrottlePos', 'S01PID45_RelThrottlePos': 6.274509803921568}"
1720618549.377,1,2024,0,8,8,0,0,0,03414A1AAAAAAAAA,1720618549.377,"{'Length': 3, 'Response': 4, 'Service': 'Show current data ', 'S01PID': 'S01PID4A_AbsThrottlePosE', 'S01PID4A_AbsThrottlePosE': 10.196078431372548}"
1720618550.578,1,2024,0,8,8,0,0,0,0441210000AAAAAA,1720618550.578,"{'Length': 4, 'Response': 4, 'Service': 'Show current data ', 'S01PID': 'S01PID21_DistanceMILOn', 'S01PID21_DistanceMILOn': 0}"
1720618550.627,1,2024,0,8,8,0,0,0,0441210000AAAAAA,1720618550.627,"{'Length': 4, 'Response': 4, 'Service': 'Show current data ', 'S01PID': 'S01PID21_DistanceMILOn', 'S01PID21_DistanceMILOn': 0}"
1720618550.828,1,2024,0,8,8,0,0,0,0341057FAAAAAAAA,1720618550.828,"{'Length': 3, 'Response': 4, 'Service': 'Show current data ', 'S01PID': 'S01PID05_EngineCoolantTemp', 'S01PID05_EngineCoolantTemp': 87}"
1720618550.878,1,2024,0,8,8,0,0,0,03410D05AAAAAAAA,1720618550.878,"{'Length': 3, 'Response': 4, 'Service': 'Show current data ', 'S01PID': 'S01PID0D_VehicleSpeed', 'S01PID0D_VehicleSpeed': 5}"
1720618550.78,1,2024,0,8,8,0,0,0,0341523BAAAAAAAA,1720618550.78,"{'Length': 3, 'Response': 4, 'Service': 'Show current data ', 'S01PID': 'S01PID52_EthanolFuelPct', 'S01PID52_EthanolFuelPct': 23.13725490196078}"
1720618550.177,1,2024,0,8,8,0,0,0,0341523BAAAAAAAA,1720618550.177,"{'Length': 3, 'Response': 4, 'Service': 'Show current data ', 'S01PID': 'S01PID52_EthanolFuelPct', 'S01PID52_EthanolFuelPct': 23.13725490196078}"
1720618550.227,1,2024,0,8,8,0,0,0,044143006EAAAAAA,1720618550.227,"{'Length': 4, 'Response': 4, 'Service': 'Show current data ', 'S01PID': 'S01PID43_AbsLoadValue', 'S01PID43_AbsLoadValue': 43.13725490196078}"
