TimestampEpoch;BusChannel;ID;IDE;DLC;DataLength;Dir;EDL;BRS;DataBytes
1729788371.80;1;7E8;0;8;8;0;0;0;0341040000000000
1729788371.132;1;7E8;0;8;8;0;0;0;0341040000000000
1729788371.432;1;7E8;0;8;8;0;0;0;0141000000000000
1729788371.532;1;7E8;0;8;8;0;0;0;03410F4300000000
1729788372.684;1;7E8;0;8;8;0;0;0;0341040000000000
1729788372.832;1;7E8;0;8;8;0;0;0;0341054700000000
1729788372.584;1;7E8;0;8;8;0;0;0;04410C0000000000
1729788373.384;1;7E8;0;8;8;0;0;0;0141000000000000
1729788375.336;1;7E8;0;8;8;0;0;0;0141000000000000
1729788376.89;1;7E8;0;8;8;0;0;0;03410F4200000000
1729788376.136;1;7E8;0;8;8;0;0;0;03410F4200000000
1729788376.288;1;7E8;0;8;8;0;0;0;03411C1D00000000
1729788376.536;1;7E8;0;8;8;0;0;0;04410C10F0000000
1729788377.736;1;7E8;0;8;8;0;0;0;03410D0000000000
1729788377.190;1;7E8;0;8;8;0;0;0;03410F4200000000
1729788377.336;1;7E8;0;8;8;0;0;0;03411C1D00000000
1729788378.341;1;7E8;0;8;8;0;0;0;0341044700000000
1729788380.840;1;7E8;0;8;8;0;0;0;04410C0E84000000
1729788380.94;1;7E8;0;8;8;0;0;0;0441210000000000
1729788380.392;1;7E8;0;8;8;0;0;0;03410F4200000000
1729788380.540;1;7E8;0;8;8;0;0;0;03410D0000000000
1729788381.892;1;7E8;0;8;8;0;0;0;0141000000000000
1729788381.992;1;7E8;0;8;8;0;0;0;0141000000000000
1729788381.40;1;7E8;0;8;8;0;0;0;0341112500000000
1729788382.944;1;7E8;0;8;8;0;0;0;0341043F00000000
1729788383.144;1;7E8;0;8;8;0;0;0;0341112500000000
1729788383.496;1;7E8;0;8;8;0;0;0;04410C0EE0000000
1729788384.696;1;7E8;0;8;8;0;0;0;03410F4200000000
1729788384.848;1;7E8;0;8;8;0;0;0;0341112500000000
1729788384.148;1;7E8;0;8;8;0;0;0;03411C1D00000000
1729788384.196;1;7E8;0;8;8;0;0;0;03410F4200000000
1729788384.597;1;7E8;0;8;8;0;0;0;0341112500000000
1729788385.48;1;7E8;0;8;8;0;0;0;0341043F00000000
1729788385.96;1;7E8;0;8;8;0;0;0;0341043F00000000
1729788385.248;1;7E8;0;8;8;0;0;0;0441210000000000
1729788385.349;1;7E8;0;8;8;0;0;0;03411C1D00000000
1729788385.496;1;7E8;0;8;8;0;0;0;0341043F00000000
1729788386.796;1;7E8;0;8;8;0;0;0;0141000000000000
1729788386.948;1;7E8;0;8;8;0;0;0;03410F4200000000
1729788386.296;1;7E8;0;8;8;0;0;0;03410D0000000000
1729788387.96;1;7E8;0;8;8;0;0;0;0441210000000000
1729788388.949;1;7E8;0;8;8;0;0;0;0441210000000000
1729788389.700;1;7E8;0;8;8;0;0;0;0141000000000000
1729788389.0;1;7E8;0;8;8;0;0;0;03410D0000000000
1729788389.52;1;7E8;0;8;8;0;0;0;0341043F00000000
1729788389.353;1;7E8;0;8;8;0;0;0;0341043F00000000
1729788390.205;1;7E8;0;8;8;0;0;0;03410D0000000000
1729788391.752;1;7E8;0;8;8;0;0;0;0141000000000000
1729788391.4;1;7E8;0;8;8;0;0;0;0341043F00000000
1729788391.207;1;7E8;0;8;8;0;0;0;0441210000000000
1729788391.304;1;7E8;0;8;8;0;0;0;03410F4200000000
1729788392.204;1;7E8;0;8;8;0;0;0;04410C0ECC000000
1729788393.105;1;7E8;0;8;8;0;0;0;03411C1D00000000
1729788393.552;1;7E8;0;8;8;0;0;0;04410C0EA8000000
1729788394.752;1;7E8;0;8;8;0;0;0;03410D0000000000
1729788394.104;1;7E8;0;8;8;0;0;0;03410F4300000000
1729788395.752;1;7E8;0;8;8;0;0;0;03411C1D00000000
1729788395.4;1;7E8;0;8;8;0;0;0;0341044200000000
1729788395.256;1;7E8;0;8;8;0;0;0;03410F4300000000
1729788395.607;1;7E8;0;8;8;0;0;0;03411C1D00000000
1729788396.108;1;7E8;0;8;8;0;0;0;0441210000000000
1729788396.656;1;7E8;0;8;8;0;0;0;0341043F00000000
1729788397.8;1;7E8;0;8;8;0;0;0;03410F4300000000
1729788397.556;1;7E8;0;8;8;0;0;0;03410D0000000000
1729788398.908;1;7E8;0;8;8;0;0;0;0341112500000000
1729788398.9;1;7E8;0;8;8;0;0;0;0141000000000000
1729788398.356;1;7E8;0;8;8;0;0;0;0341054800000000
1729788399.161;1;7E8;0;8;8;0;0;0;0441210000000000
1729788399.356;1;7E8;0;8;8;0;0;0;0441210000000000
1729788400.708;1;7E8;0;8;8;0;0;0;0441210000000000
1729788400.908;1;7E8;0;8;8;0;0;0;03410D0000000000
1729788400.956;1;7E8;0;8;8;0;0;0;0341043D00000000
1729788400.308;1;7E8;0;8;8;0;0;0;0441210000000000
1729788400.361;1;7E8;0;8;8;0;0;0;03410D0000000000
1729788400.508;1;7E8;0;8;8;0;0;0;03410D0000000000
1729788401.961;1;7E8;0;8;8;0;0;0;0341054800000000
1729788401.12;1;7E8;0;8;8;0;0;0;0341112500000000
1729788401.513;1;7E8;0;8;8;0;0;0;04410C0EC8000000
1729788402.260;1;7E8;0;8;8;0;0;0;0341054800000000
1729788402.460;1;7E8;0;8;8;0;0;0;0141000000000000
1729788403.864;1;7E8;0;8;8;0;0;0;0341043D00000000
1729788403.265;1;7E8;0;8;8;0;0;0;0341054800000000
1729788403.312;1;7E8;0;8;8;0;0;0;03410D0000000000
1729788403.412;1;7E8;0;8;8;0;0;0;0141000000000000
1729788404.964;1;7E8;0;8;8;0;0;0;0341054800000000
1729788404.312;1;7E8;0;8;8;0;0;0;03411C1D00000000
1729788405.266;1;7E8;0;8;8;0;0;0;04410C0E8C000000
1729788406.817;1;7E8;0;8;8;0;0;0;0441210000000000
1729788406.916;1;7E8;0;8;8;0;0;0;0341112400000000
1729788406.316;1;7E8;0;8;8;0;0;0;0341054800000000
